system:index,Class,LST_C,.geo
1_747,Urban,41.03777957,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_763,Urban,38.48964566000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_765,Urban,38.85024677000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_769,Urban,42.05805854000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_770,Urban,37.05749528000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_775,Urban,42.21016043,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_782,Urban,43.45773773000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_789,Urban,36.42345257000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_794,Urban,38.15809772,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_805,Urban,38.28456446000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_809,Urban,41.36590949000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_812,Urban,39.132233420000034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_814,Urban,38.24354821999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_815,Urban,43.27145564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_817,Urban,36.661004960000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_818,Urban,36.61144367000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_824,Urban,36.04917938,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_829,Urban,40.81048124000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_832,Urban,39.36465878000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_836,Urban,37.58728838000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_844,Urban,46.44679622000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_852,Urban,48.29252702000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_860,Urban,47.848184419999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_862,Urban,37.853893940000034,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_867,Urban,36.74645545999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_874,Urban,38.95107836,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_875,Urban,35.39975558000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_879,Urban,36.466177819999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_882,Urban,37.365117080000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_887,Urban,37.46765768,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_888,Urban,43.796121709999994,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_898,Urban,39.19375778,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_904,Urban,43.20651326000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_905,Urban,40.10978713999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_907,Urban,37.61121452000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_910,Urban,35.81846303000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_915,Urban,41.61371594000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_927,Urban,38.23671218000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_935,Urban,43.11251771000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_936,Urban,40.147385360000044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_941,Urban,45.424808240000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_951,Urban,40.66350638000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_954,Urban,37.77869750000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_969,Urban,39.61417424000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_972,Urban,35.23227259999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_988,Urban,37.47107570000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_990,Urban,44.21824718000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_992,Urban,41.080504820000044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_993,Urban,40.12004120000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_996,Urban,39.39712997000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1001,Urban,37.02331508000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1017,Urban,38.28456446000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1036,Urban,38.56142408000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1041,Urban,40.35930259999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1046,Urban,42.07173062000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1048,Urban,36.94299161000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1055,Urban,42.051222499999994,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1059,Urban,39.556067900000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1075,Urban,40.147385360000044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1091,Urban,37.27795757000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1096,Urban,41.01214442000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1100,Urban,34.96566704000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1102,Urban,41.54193752000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1107,Urban,35.92954868000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1128,Urban,38.67934577,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1139,Urban,40.198655659999986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1141,Urban,39.41763809,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1153,Urban,41.360782459999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1158,Urban,41.69233040000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1163,Urban,38.25038426000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1166,Urban,37.84363988000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1171,Urban,36.99938894000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1184,Urban,44.83007276000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1189,Urban,44.539541060000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1194,Urban,38.08973732000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1199,Urban,43.908916370000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1204,Urban,39.18350372000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1208,Urban,39.17666768000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1211,Urban,37.447149560000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1221,Urban,43.51071704000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1225,Urban,37.300174700000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1226,Urban,38.246966240000035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1228,Urban,36.04576136000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1229,Urban,38.61611240000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1232,Urban,36.900266360000046,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1236,Urban,36.855832099999986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1244,Urban,43.603003580000006,"{""type"":""MultiPoint"",""coordinates"":[]}"
